start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
0.2035,0.2189,23750.0,29080.0,Echolocation,0.653,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
0.3685,0.3835,23750.0,28830.0,Echolocation,0.694,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
0.5645,0.5799,23750.0,29296.0,Echolocation,0.613,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
0.8445,0.8602,23750.0,29029.0,Echolocation,0.644,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
0.9885,1.0024,23750.0,29402.0,Echolocation,0.672,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.1445,1.1591,24609.0,28829.0,Echolocation,0.601,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.1755,1.1904,24609.0,30480.0,Echolocation,0.659,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.2845,1.2984,25468.0,30803.0,Echolocation,0.601,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.3345,1.3496,23750.0,32838.0,Echolocation,0.638,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.5295,1.5445,23750.0,32350.0,Echolocation,0.635,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.7935,1.8093,22890.0,32030.0,Echolocation,0.568,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
1.9575,1.9755,24609.0,34327.0,Echolocation,0.61,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.1365,2.1542,23750.0,34094.0,Echolocation,0.589,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.2545,2.2665,24609.0,35088.0,Echolocation,0.679,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.4055,2.4211,24609.0,35889.0,Echolocation,0.66,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.5575,2.572,23750.0,34116.0,Echolocation,0.631,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.7055,2.7198,23750.0,34800.0,Echolocation,0.673,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.8565,2.8669,23750.0,34683.0,Echolocation,0.664,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
2.9775,2.9859,22890.0,32599.0,Echolocation,0.647,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.0665,3.0729,22031.0,34049.0,Echolocation,0.581,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.1315,3.1374,21171.0,33547.0,Echolocation,0.533,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.4945,3.5086,24609.0,29041.0,Echolocation,0.547,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.6295,3.6399,24609.0,30764.0,Echolocation,0.507,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.7755,3.7887,22890.0,32611.0,Echolocation,0.685,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
3.9035,3.9145,23750.0,34267.0,Echolocation,0.66,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.0415,4.0551,24609.0,38088.0,Echolocation,0.678,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.1885,4.2021,24609.0,34876.0,Echolocation,0.642,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.3585,4.3714,24609.0,35517.0,Echolocation,0.598,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.5155,4.5298,24609.0,28988.0,Echolocation,0.593,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.5335,4.5466,24609.0,35987.0,Echolocation,0.638,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.6915,4.7062,23750.0,35502.0,Echolocation,0.655,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.7915,4.8048,24609.0,29850.0,Echolocation,0.537,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
4.8485,4.8641,24609.0,38714.0,Echolocation,0.648,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.0755,5.0902,24609.0,28327.0,Echolocation,0.648,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.1155,5.1315,23750.0,36584.0,Echolocation,0.599,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.2805,5.2941,24609.0,36430.0,Echolocation,0.693,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.3895,5.4049,24609.0,30258.0,Echolocation,0.615,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.5495,5.5652,23750.0,37939.0,Echolocation,0.637,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.7015,5.7173,23750.0,28569.0,Echolocation,0.611,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.7275,5.743,24609.0,33293.0,Echolocation,0.576,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
5.8835,5.8988,24609.0,28396.0,Echolocation,0.673,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.0135,6.0316,23750.0,38126.0,Echolocation,0.587,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.1705,6.1852,24609.0,31699.0,Echolocation,0.627,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.2895,6.306,22890.0,34351.0,Echolocation,0.536,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.4305,6.4465,23750.0,36720.0,Echolocation,0.626,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.5825,6.6001,24609.0,37786.0,Echolocation,0.591,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.7105,6.7258,25468.0,32825.0,Echolocation,0.648,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.7515,6.7674,23750.0,33620.0,Echolocation,0.566,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
6.8715,6.8864,24609.0,30815.0,Echolocation,0.621,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.0105,7.0265,23750.0,36203.0,Echolocation,0.549,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.1535,7.1673,24609.0,35832.0,Echolocation,0.566,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.3025,7.3176,22890.0,39294.0,Echolocation,0.625,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.3535,7.367,25468.0,31816.0,Echolocation,0.592,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.4525,7.4671,23750.0,38932.0,Echolocation,0.643,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.5915,7.6032,24609.0,38396.0,Echolocation,0.609,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.7135,7.7238,23750.0,36068.0,Echolocation,0.65,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.8105,7.8202,22890.0,34059.0,Echolocation,0.566,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
8.4525,8.4673,23750.0,36780.0,Echolocation,0.524,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
8.7015,8.7178,23750.0,33209.0,Echolocation,0.57,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
8.8945,8.9106,24609.0,35530.0,Echolocation,0.6,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
8.9985,9.0154,24609.0,30107.0,Echolocation,0.541,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.0565,9.0737,23750.0,37516.0,Echolocation,0.563,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.2705,9.287,24609.0,38647.0,Echolocation,0.629,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.4275,9.4429,24609.0,39277.0,Echolocation,0.592,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.5775,9.5915,25468.0,35025.0,Echolocation,0.55,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.7645,9.782,24609.0,41215.0,Echolocation,0.548,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
9.9855,10.001,23750.0,38053.0,Echolocation,0.563,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.2535,10.2693,23750.0,38043.0,Echolocation,0.599,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.3765,10.3926,23750.0,28726.0,Echolocation,0.614,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.5005,10.5146,23750.0,35392.0,Echolocation,0.577,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.6665,10.68,24609.0,31570.0,Echolocation,0.651,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.7815,10.7982,23750.0,36246.0,Echolocation,0.52,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.9165,10.9311,25468.0,30460.0,Echolocation,0.545,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
10.9415,10.9539,24609.0,35255.0,Echolocation,0.576,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.0385,11.0511,26328.0,33660.0,Echolocation,0.551,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.0665,11.0803,24609.0,34836.0,Echolocation,0.558,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.1695,11.1845,25468.0,30485.0,Echolocation,0.509,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.2105,11.2253,24609.0,39298.0,Echolocation,0.61,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.3445,11.3583,23750.0,35927.0,Echolocation,0.621,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.5715,11.5866,23750.0,43191.0,Echolocation,0.657,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.7105,11.7247,25468.0,33713.0,Echolocation,0.561,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.7275,11.7401,24609.0,34986.0,Echolocation,0.517,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.9125,11.928,25468.0,29178.0,Echolocation,0.57,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
11.9785,11.9933,23750.0,38146.0,Echolocation,0.655,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.1035,12.1142,25468.0,33796.0,Echolocation,0.701,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.2345,12.2456,23750.0,32600.0,Echolocation,0.697,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.3825,12.3967,23750.0,39964.0,Echolocation,0.676,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.5255,12.5365,24609.0,38208.0,Echolocation,0.59,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.7175,12.7317,24609.0,30267.0,Echolocation,0.671,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.7765,12.7878,24609.0,41839.0,Echolocation,0.642,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
12.8895,12.9017,24609.0,36397.0,Echolocation,0.621,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.0295,13.0428,24609.0,33991.0,Echolocation,0.626,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.1825,13.196,24609.0,32207.0,Echolocation,0.556,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.3165,13.3283,25468.0,32666.0,Echolocation,0.627,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.4755,13.4892,24609.0,32610.0,Echolocation,0.617,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.5355,13.5466,25468.0,31647.0,Echolocation,0.652,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.7675,13.7823,24609.0,29776.0,Echolocation,0.545,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.8405,13.856,23750.0,27133.0,Echolocation,0.676,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
13.9215,13.9371,24609.0,32765.0,Echolocation,0.59,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
14.0245,14.0414,23750.0,28037.0,Echolocation,0.598,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
