start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
0.1465,0.1619,22890.0,27712.0,Echolocation,0.583,/Users/adityakrishna/Downloads/20210910_032600.WAV
1.2715,1.2827,24609.0,32132.0,Echolocation,0.684,/Users/adityakrishna/Downloads/20210910_032600.WAV
2.1815,2.1944,23750.0,30720.0,Echolocation,0.598,/Users/adityakrishna/Downloads/20210910_032600.WAV
2.3125,2.3258,23750.0,30401.0,Echolocation,0.6,/Users/adityakrishna/Downloads/20210910_032600.WAV
2.4655,2.4834,23750.0,30478.0,Echolocation,0.562,/Users/adityakrishna/Downloads/20210910_032600.WAV
3.6395,3.6549,22890.0,27521.0,Echolocation,0.576,/Users/adityakrishna/Downloads/20210910_032600.WAV
3.9115,3.928,22031.0,27603.0,Echolocation,0.506,/Users/adityakrishna/Downloads/20210910_032600.WAV
4.7755,4.7879,25468.0,30702.0,Echolocation,0.64,/Users/adityakrishna/Downloads/20210910_032600.WAV
4.9275,4.942,24609.0,29948.0,Echolocation,0.616,/Users/adityakrishna/Downloads/20210910_032600.WAV
5.1885,5.2015,25468.0,31279.0,Echolocation,0.673,/Users/adityakrishna/Downloads/20210910_032600.WAV
5.3545,5.3693,24609.0,28703.0,Echolocation,0.691,/Users/adityakrishna/Downloads/20210910_032600.WAV
5.5105,5.525,25468.0,31267.0,Echolocation,0.632,/Users/adityakrishna/Downloads/20210910_032600.WAV
5.7045,5.7196,24609.0,29247.0,Echolocation,0.585,/Users/adityakrishna/Downloads/20210910_032600.WAV
5.9895,6.0012,25468.0,31404.0,Echolocation,0.629,/Users/adityakrishna/Downloads/20210910_032600.WAV
6.1525,6.1677,22890.0,27301.0,Echolocation,0.605,/Users/adityakrishna/Downloads/20210910_032600.WAV
6.2925,6.3068,24609.0,28649.0,Echolocation,0.604,/Users/adityakrishna/Downloads/20210910_032600.WAV
6.5945,6.608,24609.0,29590.0,Echolocation,0.694,/Users/adityakrishna/Downloads/20210910_032600.WAV
8.5315,8.5477,23750.0,28692.0,Echolocation,0.573,/Users/adityakrishna/Downloads/20210910_032600.WAV
8.7815,8.7959,24609.0,30612.0,Echolocation,0.599,/Users/adityakrishna/Downloads/20210910_032600.WAV
9.0745,9.0863,22031.0,27639.0,Echolocation,0.542,/Users/adityakrishna/Downloads/20210910_032600.WAV
